"Step","dual_agent_nyc_man_south_mode0 - combined/total_reward","dual_agent_nyc_man_south_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_mode0 - combined/total_reward__MAX"
"2992","16835.51680824731","16835.51680824731","16835.51680824731"
"3003","17521.072316489066","17521.072316489066","17521.072316489066"
"3029","17042.253192085693","17042.253192085693","17042.253192085693"
"3030","17278.555050421804","17278.555050421804","17278.555050421804"
"3052","17606.23654734155","17606.23654734155","17606.23654734155"
"3066","16934.55132203907","16934.55132203907","16934.55132203907"
"3068","17241.058912060165","17241.058912060165","17241.058912060165"
"3069","17512.484101315353","17512.484101315353","17512.484101315353"
"3070","17514.68321656122","17514.68321656122","17514.68321656122"
"3073","17729.493324148076","17729.493324148076","17729.493324148076"
"3091","17695.36937870463","17695.36937870463","17695.36937870463"
"3096","17640.171434426687","17640.171434426687","17640.171434426687"
"3111","17824.860416833166","17824.860416833166","17824.860416833166"
"3117","17168.18465845266","17168.18465845266","17168.18465845266"
"3121","17231.611003163503","17231.611003163503","17231.611003163503"
"3124","17139.136403402157","17139.136403402157","17139.136403402157"
"3163","17238.462102286605","17238.462102286605","17238.462102286605"
"3167","18030.47726373627","18030.47726373627","18030.47726373627"
"3176","17358.255124014875","17358.255124014875","17358.255124014875"
"3214","17649.577701326452","17649.577701326452","17649.577701326452"
"3215","17859.70913872239","17859.70913872239","17859.70913872239"
"3224","17972.559657176163","17972.559657176163","17972.559657176163"
"3238","16995.659131951386","16995.659131951386","16995.659131951386"
"3263","17489.836022449774","17489.836022449774","17489.836022449774"
"3273","17392.331097402595","17392.331097402595","17392.331097402595"
"3274","17429.62227081252","17429.62227081252","17429.62227081252"
"3296","17796.611928099675","17796.611928099675","17796.611928099675"
"3304","16800.163178904433","16800.163178904433","16800.163178904433"
"3306","18211.394070540573","18211.394070540573","18211.394070540573"
"3316","17417.720477466977","17417.720477466977","17417.720477466977"
"3318","17380.504364413366","17380.504364413366","17380.504364413366"
